tconst,parentTconst,seasonNumber,episodeNumber
tt10067680,tt10013366,1,2
tt10067758,tt10013366,1,3
tt10067806,tt10013366,1,4
tt10067854,tt10013366,1,5
tt10067910,tt10013366,1,6
tt10067988,tt10013366,1,7
tt10068040,tt10013366,1,8
tt10068090,tt10013366,1,9
tt10068134,tt10013366,1,10
tt10068168,tt10013366,1,11
tt10069180,tt10065646,1,1
tt10069184,tt10065646,1,2
tt10069192,tt10065646,1,3
tt10069194,tt10065646,1,4
tt10069196,tt10065646,1,5
tt10069202,tt10065646,1,6
tt10069216,tt10059648,NULL,NULL
tt10069242,tt10059648,NULL,NULL
tt10069264,tt10059648,NULL,NULL
tt10069274,tt10059648,NULL,NULL
tt10069414,tt10065440,1,1
tt10071440,tt10067700,1,1
tt10071442,tt10067700,1,2
tt10071450,tt10067700,1,3
tt10071460,tt10067700,1,4
tt10071466,tt10071316,NULL,NULL
tt10071470,tt10071316,NULL,NULL
tt10071476,tt10071316,NULL,NULL
tt10071478,tt10071316,NULL,NULL
tt10071986,tt10039060,2,1
tt10071990,tt10039060,2,2
tt10071992,tt10039060,2,3
tt10071994,tt10039060,2,4
tt10071998,tt10039060,2,5
tt10072000,tt10039060,2,6
tt10072004,tt10039060,2,7
tt10072006,tt10039060,2,8
tt10072010,tt10039060,2,9
tt10072012,tt10039060,2,10
tt10072018,tt10039060,2,11
tt10073134,tt10067700,1,5
tt10073150,tt10067700,1,6
tt10073236,tt10070452,1,1
tt10074022,tt10073612,NULL,NULL
tt10074036,tt10073612,NULL,NULL
tt10074046,tt10073612,NULL,NULL
tt10075178,tt10075076,1,1
tt10075280,tt10075076,1,2
tt10075284,tt10075076,1,3
tt10075286,tt10075076,1,4
tt10075692,tt10016342,1,5
tt10075764,tt10016342,1,6
tt10075860,tt10075512,1,2
tt10075862,tt10075512,1,1
tt10076624,tt10073122,1,1
tt10076778,tt10073122,1,2
tt10077084,tt10062526,1,1
tt10077098,tt10062526,1,2
tt10077142,tt10062526,1,3
tt10077186,tt10062526,1,4
tt10077210,tt10062526,1,5
tt10077240,tt10062526,1,6
tt10077246,tt10062526,1,7
tt10077272,tt10062526,1,8
tt10077820,tt10073122,1,3
tt10077900,tt10073122,1,4
tt10078136,tt10073122,1,5
tt10078308,tt10073122,1,6
tt10078456,tt10005140,1,1
tt10078592,tt10068940,1,3
tt10079034,tt10065264,1,0
tt10079182,tt10065264,1,1
tt10079614,tt10074592,1,1
tt10079836,tt10074592,1,2
tt10079864,tt10074592,1,3
tt10079866,tt10074592,1,4
tt10079870,tt10074592,1,5
tt10079876,tt10074592,1,6
tt10079880,tt10074592,1,7
tt10079886,tt10074592,1,8
tt10079890,tt10074592,1,9
tt10079896,tt10074592,1,10
tt10079900,tt10074592,1,11
tt10079906,tt10074592,1,12
tt10079914,tt10074592,1,13
tt10079922,tt10074592,1,14
tt10079928,tt10074592,1,15
tt10081300,tt10075044,1,4
tt10081302,tt10075044,1,3
tt10081304,tt10075044,1,2
tt10081306,tt10075044,1,1
tt10081308,tt10075044,1,5
tt10081310,tt10075044,1,8
tt10081312,tt10075044,1,9
tt10081314,tt10075044,1,7
tt10081316,tt10075044,1,6
tt10081318,tt10075044,1,17
tt10081320,tt10075044,1,15
tt10081322,tt10075044,1,11
tt10081324,tt10075044,1,18
tt10081326,tt10075044,1,14
tt10081328,tt10075044,1,20
tt10081330,tt10075044,1,10
tt10081332,tt10075044,1,19
tt10081334,tt10075044,1,13
tt10081336,tt10075044,1,16
tt10081338,tt10075044,1,12
tt10081340,tt10075044,1,22
tt10081342,tt10075044,1,27
tt10081344,tt10075044,1,34
tt10081346,tt10075044,1,23
tt10081348,tt10075044,1,28
tt10081350,tt10075044,1,21
tt10081352,tt10075044,1,32
tt10081354,tt10075044,1,26
tt10081356,tt10075044,1,30
tt10081358,tt10075044,1,33
tt10081360,tt10075044,1,29
tt10081362,tt10075044,1,31
tt10081364,tt10075044,1,25
tt10081366,tt10075044,1,24
tt10081992,tt10080362,1,1
tt10082028,tt10080362,1,2
tt10082072,tt10080362,1,3
tt10082074,tt10041404,1,1
tt10082080,tt10041404,1,2
tt10082102,tt10041404,1,3
tt10082112,tt10041404,1,4
tt10082122,tt10041404,1,5
tt10082124,tt10080362,1,4
tt10082128,tt10041404,1,6
tt10082138,tt10041404,1,7
tt10082146,tt10041404,1,8
tt10082152,tt10080362,1,5
tt10082158,tt10041404,1,9
tt10082168,tt10041404,1,10
tt10082178,tt10041404,1,11
tt10082184,tt10080362,1,6
tt10082190,tt10041404,1,12
tt10082206,tt10041404,1,13
tt10082232,tt10041404,1,14
tt10082260,tt10041404,1,15
tt10082298,tt10041404,1,16
tt10082300,tt10041404,1,17
tt10082418,tt10074050,1,1
tt10083914,tt10074312,1,1
tt10083924,tt10062526,2,1
tt10083938,tt10062526,2,2
tt10083948,tt10062526,2,3
tt10083954,tt10074312,1,2
tt10083984,tt10062526,2,4
tt10084004,tt10062526,2,5
tt10084042,tt10062526,2,6
tt10084048,tt10074312,1,3
tt10084082,tt10062526,2,7
tt10084116,tt10062526,3,1
tt10084134,tt10062526,3,2
tt10084160,tt10062526,3,3
tt10084176,tt10062526,3,4
tt10084196,tt10062526,3,5
tt10084212,tt10062526,3,6
tt10084846,tt10065264,1,2
tt10084884,tt10065264,1,3
